;Chapter 1;Chapter 2;Chapter 3;Chapter 4;Chapter 5;Chapter 6;Chapter 7;Chapter 8;Chapter 9;Chapter 10;Chapter 11;Chapter 12
1;alice;alice;said;alice;said;said;said;said;said;said;said;said
2;little;little;alice;little;alice;alice;alice;alice;alice;gryphon;king;alice
3;like;mouse;mouse;one;caterpillar;cat;hatter;queen;turtle;turtle;hatter;king
4;way;im;dodo;said;im;like;dormouse;head;mock;alice;alice;would
5;think;said;know;rabbit;pigeon;duchess;march;king;gryphon;mock;court;little
6;see;dear;one;heard;little;little;hare;three;duchess;would;dormouse;jury
7;one;go;soon;get;well;much;time;went;went;dance;one;queen
8;time;like;lory;sure;serpent;would;know;one;queen;beautiful;witness;know
9;could;went;would;thought;ive;mad;well;began;never;soup;queen;one
10;thought;must;round;bill;one;baby;one;two;dont;wont;began;rabbit
11;said;oh;thing;thing;know;could;went;see;little;voice;rabbit;white
12;eat;thought;dry;made;think;went;thing;soldiers;know;join;thought;nothing
13;nothing;pool;long;window;last;thought;little;like;say;could;white;gave
14;found;cried;birds;quite;got;footman;say;cat;like;like;im;could
15;well;feet;little;came;bit;know;twinkle;came;moral;know;next;head
16;went;way;course;great;size;get;replied;gardeners;day;whiting;march;dream
17;door;one;question;went;tried;see;tea;dont;quite;sea;voice;must
18;get;cats;ill;moment;youre;large;dont;looked;come;soooop;tarts;voice
19;would;could;must;like;cant;way;think;look;thought;lobsters;breadandbutter;sister
20;key;ill;prizes;room;see;pig;could;could;well;lobster;made;theres
